"correlationLowerBound","correlationUpperBound","correlation","correlationPear","distance","upToAirQuality","valueToUse","samples","latitudeStart"
0.0083981337791295,0.0632831879795978,0.0362912212610765,0.0227534599700074,20000,36,"aqi",4900,35.79115496
0.00824926720691937,0.099123769680498,0.0550359563054411,0.0180007037784852,10000,10,"pm2_5",1837,38.02080697
0.00823986255989913,0.113630287916597,0.0614228044557224,0.0135704380273516,12000,24,"aqi",1380,37.7583355
0.00729234840626741,0.0855691280503271,0.0454738597737825,0.0215167468975665,16000,26,"aqi",2507,36.6163024
0.00681346344779729,0.09247227317688,0.051589615326889,0.0324787358154671,16000,24,"aqi",2209,36.6163024
0.0061573822658536,0.133666465618072,0.0701584743029114,0.0498075875791723,8000,10,"pm2_5",985,40.22787247
0.00561016470771441,0.0672843382268168,0.0356967188905189,0.021498043948379,18000,8,"pm2_5",4143,35.79115496
0.00508487356535894,0.137425490771247,0.0713479852809456,0.0571578542287248,8000,40,"aqi",941,40.22787247
0.00503517258486689,0.0984082457868705,0.0524510931446525,0.0376355261586653,16000,22,"aqi",1830,36.6163024
0.00410420294234504,0.0973823863222189,0.0492271880487,0.0245414771828216,10000,40,"aqi",1765,38.02080697
0.00365780526225053,0.0622762748917959,0.0337158161572667,0.0250338023952301,20000,32,"aqi",4273,35.79115496
0.00353692728977134,0.0810948550291983,0.04225138221403,0.0271727114162262,18000,24,"aqi",2597,35.79115496
0.00344851353541677,0.0673333149135998,0.0372869917922209,0.0228401940489842,18000,32,"aqi",3905,35.79115496
0.00341674425646928,0.0949857684671365,0.0522982943023767,0.0255827989224083,12000,30,"aqi",1914,37.7583355
0.00263566063446249,0.0815224982128146,0.0421908515429258,0.0298454541319703,16000,28,"aqi",2718,36.6163024
0.00227861371823227,0.0763134243233559,0.0405159049112486,0.0273497197084893,20000,24,"aqi",2831,35.79115496
0.00227442969608308,0.0738631030144845,0.0360775548951792,0.0278593008172376,20000,6,"pm2_5",3063,35.79115496
0.00194338125382167,0.0609853137412299,0.0319714564289037,0.0189371806534568,20000,34,"aqi",4601,35.79115496
-0.0945559542652665,-0.00150675555679625,-0.0486875647059076,-0.014298922522651,20000,22,"pm2_5",1807,25.6112362
-0.0948152571994648,0.00111788636862109,-0.0488582558364826,-0.010707073470789,20000,20,"pm2_5",1800,25.6112362
-0.0953598829289635,-0.0021452125068222,-0.0503965773225241,-0.0172186541283266,20000,24,"pm2_5",1812,25.6112362
